title,metacritic_score
The Flat,83
Hidden,83
Porco Rosso,83
Red Army,83
Lake of Fire,83
Boxing Gym,83
Babe,83
The Apostle,83
Kill Bill: Vol. 2,83
Vera Drake,83
U2 3D,83
Cutie and the Boxer,83
Mustang,83
Everybody Wants Some!!,83
Crazy Heart,83
Trainspotting,83
The Happiest Day in the Life of Olli Mäki,83
The Salt of the Earth,83
The Gleaners & I,83
Amores Perros,83
Osama,83
Bus 174,83
In the Loop,83
Fantastic Mr. Fox,83
The Bad News Bears,83
The Secret of the Grain,83
The Fool,83
Welcome to the Dollhouse,83
The Forbidden Room,83
Avatar,83
The Snapper,83
Fighter,83
Adaptation.,83
A Little Princess,83
De Palma,83
Up in the Air,83
Burning Bush,83
Manhattan,83
Triad Election,83
The Witch,83
When We Were Kings,83
20 Feet from Stardom,83
The Age of Innocence,83
Spider-Man 2,83
Marwencol,83
Neil Young Trunk Show,83
The Wind Rises,83
Project Nim,83
Corpse Bride,83
"Distant Voices, Still Lives",83
20th Century Women,83
Blackfish,83
'71,83
Who Framed Roger Rabbit,83
Raising Victor Vargas,83
Kiki's Delivery Service,83
Chop Shop,83
Office,83
The Terminator,83
The Lion King,83
Kurt Cobain: Montage of Heck,83
My Name Is Albert Ayler,83
56 Up,83
The Selfish Giant,83
Seymour: An Introduction,83
Alien,83
Moonstruck,83
Spider,83
The King of Kong: A Fistful of Quarters,83
Drag Me to Hell,83
Taxidermia,83
Hadewijch,83
The Day He Arrives,83
Ixcanul,83
It Follows,83
Gloria,83
The LEGO Movie,83
Captain Phillips,83
Hugo ,83
Bullitt,83
La Camioneta: The Journey of One American School Bus,83
Animal Kingdom,83
Pina,83
Paranoid Park,83
James White,83
Don't Think Twice,83
Election,83
The Woman Who Left,83
"20,000 Days on Earth",83
Court,83
Sweeney Todd: The Demon Barber of Fleet Street,83
Dear Zachary: A Letter to a Son About His Father,82
Certified Copy,82
A Hijacking,82
In the Family,82
Hunger,82
Cold Comfort Farm,82
Concert for George,82
Anvil! The Story of Anvil,82
The Trip,82
Harry Potter and the Prisoner of Azkaban,82
La Promesse (The Promise),82
Our Time Will Come,82
Levitated Mass,82
Michael Clayton,82
